"bibliography.congress classifications","bibliography.languages","bibliography.subjects","bibliography.title","bibliography.type","metadata.downloads","metadata.id","metadata.rank","metadata.url","bibliography.author.birth","bibliography.author.death","bibliography.author.name","bibliography.publication.day","bibliography.publication.full","bibliography.publication.month","bibliography.publication.month name","bibliography.publication.year","metadata.formats.total","metadata.formats.types","metrics.difficulty.automated readability index","metrics.difficulty.coleman liau index","metrics.difficulty.dale chall readability score","metrics.difficulty.difficult words","metrics.difficulty.flesch kincaid grade","metrics.difficulty.flesch reading ease","metrics.difficulty.gunning fog","metrics.difficulty.linsear write formula","metrics.difficulty.smog index","metrics.sentiments.polarity","metrics.sentiments.subjectivity","metrics.statistics.average letter per word","metrics.statistics.average sentence length","metrics.statistics.average sentence per word","metrics.statistics.characters","metrics.statistics.polysyllables","metrics.statistics.sentences","metrics.statistics.syllables","metrics.statistics.words"
PZ,en,Rabbits -- Juvenile fiction,The Tale of Peter Rabbit,Text,2371,14838,123,https://www.gutenberg.org/ebooks/14838,1866,1943,"Potter, Beatrix",30,"January 30, 2005",1,January,2005,7,"text/plain,text/plain; charset=us-ascii,application/x-mobipocket-ebook,application/zip,application/rdf+xml,application/epub+zip,text/html; charset=us-ascii",10.6,12.18,6.66,146,6.8,73.17,8.0,8.0,3.1,0.05392908528809689,0.4250390113762206,5.13,15.0,0.06,5188,39,64,1365.3,1011
BJ,en,"Etiquette for women;Formulas, recipes, etc.;Etiquette -- United States -- Handbooks, manuals, etc.","The Ladies' Book of Etiquette, and Manual of Politeness: A Complete Hand Book for the Use of the Lady in Polite Society",Text,2351,35123,124,https://www.gutenberg.org/ebooks/35123,0,0,"Hartley, Florence",30,"January 30, 2011",1,January,2011,8,"text/html; charset=iso-8859-1,text/plain; charset=us-ascii,application/x-mobipocket-ebook,application/zip,application/rdf+xml,application/epub+zip,text/plain; charset=iso-8859-1,text/plain",13.0,11.26,6.44,9295,9.5,66.07,10.8,11.0,3.1,0.11532912839896901,0.5014291887363775,4.87,22.0,0.04,418464,3053,3740,122143.5,85929
PS,en,"New England -- Fiction,Sisters -- Fiction,Bildungsromans,Autobiographical fiction,Family life -- New England -- Fiction,Young women -- Fiction,March family (Fictitious characters) -- Fiction,Domestic fiction,Mothers and daughters -- Fiction",Little Women,Text,2340,514,126,https://www.gutenberg.org/ebooks/514,1832,1888,"Alcott, Louisa May",1,"May, 1996",5,May,1996,8,"text/plain; charset=us-ascii,application/x-mobipocket-ebook,text/plain; charset=iso-8859-1,application/zip,application/rdf+xml,application/epub+zip,text/html; charset=iso-8859-1,text/plain",10.1,9.46,5.67,12841,7.2,77.57,9.600000000000001,27.0,3.1,0.1474168109313772,0.5399897570310996,4.61,19.0,0.05,857711,3379,9517,241852.5,186040
B,en,"Metaphysics;Knowledge, Theory of;Philosophy -- Introductions",The Problems of Philosophy,Text,2332,5827,127,https://www.gutenberg.org/ebooks/5827,1872,1970,"Russell, Bertrand",1,"June, 2004",6,June,2004,8,"text/plain; charset=us-ascii,text/plain,text/html; charset=iso-8859-1,application/zip,application/rdf+xml,application/epub+zip,text/plain; charset=iso-8859-1,application/x-mobipocket-ebook",15.7,11.55,6.32,3643,12.6,52.53,12.8,11.0,8.8,0.07787404365669819,0.4593884955648212,4.92,27.0,0.04,210540,2182,1537,63419.4,42752
PR,en,"Bildungsromans,Illegitimate children -- Fiction,London (England) -- Fiction,Guardian and ward -- Fiction,Legal stories,Inheritance and succession -- Fiction,Domestic fiction,Young women -- Fiction",Bleak House,Text,2330,1023,128,https://www.gutenberg.org/ebooks/1023,1812,1870,"Dickens, Charles",1,"August 1, 1997",8,August,1997,7,"text/plain; charset=us-ascii,text/plain,application/zip,application/rdf+xml,application/epub+zip,text/html; charset=iso-8859-1,application/x-mobipocket-ebook",9.1,9.63,5.46,22952,6.0,80.62,8.4,1.0,3.1,0.09988108042692631,0.498810919581587,4.69,16.0,0.06,1659331,8749,20968,470421.9,353471
PS,en,"Fantasy fiction;American fiction -- 19th century;Horror tales, American;Short stories",The Works of Edgar Allan Poe — Volume 2,Text,2307,2148,129,https://www.gutenberg.org/ebooks/2148,1809,1849,"Poe, Edgar Allan",19,"May 19, 2008",5,May,2008,7,"application/rdf+xml,text/html; charset=iso-8859-1,application/x-mobipocket-ebook,text/plain; charset=iso-8859-1,application/epub+zip,text/plain; charset=us-ascii,text/plain",13.5,11.84,6.9,12760,11.1,56.59,11.200000000000001,14.0,8.8,0.07792719931242845,0.5032331289518348,4.97,23.0,0.04,472152,4391,4108,139190.4,95020
PS,en,"Vocabulary -- Humor,English language -- Semantics -- Humor,English language -- Dictionaries -- Humor",The Devil's Dictionary,Text,2287,972,130,https://www.gutenberg.org/ebooks/972,1842,1913,"Bierce, Ambrose",1,"January 1, 1911",1,January,1911,7,"application/x-mobipocket-ebook,text/plain; charset=us-ascii,text/html; charset=us-ascii,application/zip,application/rdf+xml,application/epub+zip,text/plain",12.1,12.65,7.51,11352,9.1,61.67,9.200000000000001,18.0,3.1,0.11822304908726318,0.488925517373905,5.16,18.0,0.05,310497,3137,3253,88947.0,60117
U,en,"Military art and science -- Early works to 1800,War -- Early works to 1800",The Art of War,Text,2270,132,131,https://www.gutenberg.org/ebooks/132,0,0,"Sunzi, active 6th century B.C.",1,May 1994,5,May,1994,7,"text/html,text/plain; charset=us-ascii,application/x-mobipocket-ebook,application/zip,application/rdf+xml,application/epub+zip,text/plain",12.2,11.08,6.62,6632,9.1,67.08,10.4,11.0,3.1,0.08029742809239326,0.49574391074579144,4.89,21.0,0.05,263909,1926,2538,74476.8,53931
B,en,"Philosophy, German;Causation;Reason;Knowledge, Theory of",The Critique of Pure Reason,Text,2252,4280,132,https://www.gutenberg.org/ebooks/4280,1724,1804,"Kant, Immanuel",1,"July, 2003",7,July,2003,7,"text/plain,text/plain; charset=us-ascii,text/html; charset=us-ascii,application/zip,application/rdf+xml,application/epub+zip,application/x-mobipocket-ebook",21.2,13.82,6.19,10748,16.9,35.95,16.0,13.0,11.2,0.06396450369004515,0.48896221523111144,5.26,35.0,0.03,1093379,17269,5832,337282.2,208005
PR,en,"Prostitutes -- Fiction,England -- Fiction,Erotic stories","Memoirs Of Fanny Hill: A New and Genuine Edition from the Original Text (London, 1749)",Text,2210,25305,133,https://www.gutenberg.org/ebooks/25305,1709,1789,"Cleland, John",2,"May 2, 2008",5,May,2008,7,"application/x-mobipocket-ebook,text/plain; charset=us-ascii,text/html; charset=us-ascii,application/zip,application/rdf+xml,application/epub+zip,text/plain",26.5,10.75,7.75,8502,20.8,36.63,22.400000000000002,14.0,8.8,0.13352193907269483,0.5170861938370543,4.68,51.0,0.02,396142,2561,1635,115991.1,84602
PR,en,"Private investigators -- England -- Fiction;Detective and mystery stories;Holmes, Sherlock (Fictitious character) -- Fiction",The Sign of the Four,Text,2200,2097,135,https://www.gutenberg.org/ebooks/2097,1859,1930,"Doyle, Arthur Conan",1,"March, 2000",3,March,2000,7,"text/plain; charset=us-ascii,application/x-mobipocket-ebook,application/zip,application/rdf+xml,application/epub+zip,text/html; charset=iso-8859-1,text/plain",7.6,8.69,6.16,4979,5.2,82.65,7.6000000000000005,14.0,3.1,0.05915935182624819,0.4816925374541576,4.58,14.0,0.07,196825,869,2868,56484.9,43012
PA,en,"Epic poetry, Greek -- Translations into English;Odysseus (Greek mythology);Homer -- Translations into English",The Odyssey: Rendered into English prose for the use of those who cannot read the original,Text,2199,1727,136,https://www.gutenberg.org/ebooks/1727,-750,-650,Homer,1,"April, 1999",4,April,1999,7,"text/plain,text/plain; charset=us-ascii,text/html; charset=us-ascii,application/zip,application/rdf+xml,application/epub+zip,application/x-mobipocket-ebook",14.1,8.89,6.03,7838,11.1,67.42,13.600000000000001,17.5,3.1,0.13093947054176486,0.49696217468111475,4.41,29.0,0.03,570379,1835,4386,164098.8,129408
PS,en,"Princesses -- Fiction;Dejah Thoris (Fictitious character) -- Fiction;Carter, John (Fictitious character) -- Fiction;Mars (Planet) -- Fiction;Science fiction",A Princess of Mars,Text,2190,62,137,https://www.gutenberg.org/ebooks/62,1875,1950,"Burroughs, Edgar Rice",23,"June 23, 2008",6,June,2008,7,"text/plain; charset=us-ascii,application/x-mobipocket-ebook,application/zip,application/rdf+xml,application/epub+zip,text/html; charset=iso-8859-1,text/plain",15.1,10.51,6.51,6342,11.8,59.98,13.200000000000001,18.0,3.1,0.07796436439011051,0.49648401625994754,4.69,28.0,0.03,316458,1696,2333,92512.8,67407
GR,en,"Tales -- China;Legends -- China;Mythology, Chinese",Myths and Legends of China,Text,2187,15250,138,https://www.gutenberg.org/ebooks/15250,1864,1954,"Werner, E. T. C. (Edward Theodore Chalmers)",4,"March 4, 2005",3,March,2005,8,"text/html; charset=iso-8859-1,text/plain; charset=us-ascii,application/x-mobipocket-ebook,application/zip,application/rdf+xml,application/epub+zip,text/plain; charset=iso-8859-1,text/plain",13.0,11.55,6.41,12623,9.5,66.07,10.8,14.0,3.1,0.09975725992609417,0.4372038528463008,4.92,22.0,0.04,584463,4019,5293,166521.6,118826
PQ,en,"France -- History -- Louis XIII, 1610-1643 -- Fiction;Adventure and adventurers -- Fiction;Swordsmen -- Fiction;Historical fiction",The Three Musketeers,Text,2162,1257,139,https://www.gutenberg.org/ebooks/1257,1802,1870,"Dumas, Alexandre",1,"March 01, 1998",3,March,1998,8,"text/plain; charset=utf-8,text/plain; charset=us-ascii,text/html; charset=utf-8,application/zip,application/rdf+xml,application/epub+zip,text/plain; charset=iso-8859-1,application/x-mobipocket-ebook",9.9,10.79,5.52,15805,7.2,72.16,8.4,17.0,3.1,0.1025973212465513,0.5061792930204096,4.89,16.0,0.06,1120021,5121,13786,314599.5,229258
PS,en,"Science fiction,Short stories",2 B R 0 2 B,Text,2144,21279,140,https://www.gutenberg.org/ebooks/21279,1922,2007,"Vonnegut, Kurt",3,"May 3, 2007",5,May,2007,6,"text/plain; charset=us-ascii,text/plain,application/rdf+xml,application/epub+zip,text/html; charset=iso-8859-1,application/x-mobipocket-ebook",7.3,10.3,6.93,454,3.7,86.71,6.0,2.5,3.1,0.21205875600929072,0.4959627790510145,5.01,10.0,0.1,12848,59,249,3446.1,2564
PT,en,"Unrequited love -- Fiction,Young men -- Germany -- Fiction,Germany -- Social life and customs -- Fiction",The Sorrows of Young Werther,Text,2130,2527,141,https://www.gutenberg.org/ebooks/2527,1749,1832,"Goethe, Johann Wolfgang von",1,"February, 2001",2,February,2001,6,"text/html; charset=us-ascii,text/plain; charset=us-ascii,text/plain,application/rdf+xml,application/epub+zip,application/x-mobipocket-ebook",10.4,10.1,6.54,5264,8.3,69.11,9.600000000000001,10.5,3.1,0.11397710656759845,0.5246238896056035,4.72,19.0,0.05,200590,1087,2218,58281.3,42490
PR,en,"Country homes -- Fiction,Psychological fiction,Art teachers -- Fiction,Nobility -- Fiction,Deception -- Fiction,Gothic fiction (Literary genre),England -- Fiction,Psychiatric hospital patients -- Fiction,Inheritance and succession -- Fiction,Love stories",The Woman in White,Text,2127,583,142,https://www.gutenberg.org/ebooks/583,1824,1889,"Collins, Wilkie",1,"July, 1996",7,July,1996,7,"text/plain; charset=us-ascii,application/x-mobipocket-ebook,application/zip,application/rdf+xml,application/epub+zip,text/html; charset=iso-8859-1,text/plain",9.9,9.8,5.53,15514,7.9,70.13,9.200000000000001,9.0,3.1,0.06320621633532139,0.4936742786869371,4.72,18.0,0.06,1155740,7097,13486,336146.4,244709
PG,en,"Political fiction,Russia -- Officials and employees -- Fiction,Russia -- History -- 1801-1917 -- Fiction",Notes from the Underground,Text,2125,600,143,https://www.gutenberg.org/ebooks/600,1821,1881,"Dostoyevsky, Fyodor",1,"July, 1996",7,July,1996,6,"text/html; charset=iso-8859-1,text/plain,application/rdf+xml,application/epub+zip,text/plain; charset=us-ascii,application/x-mobipocket-ebook",9.2,9.28,6.28,5025,7.6,71.14,8.8,11.0,3.1,0.07162614804534533,0.5395232313722474,4.63,17.0,0.06,203528,1336,2480,60156.0,43966
PR,en,"Private investigators -- England -- Fiction;Detective and mystery stories, English;Holmes, Sherlock (Fictitious character) -- Fiction",The Memoirs of Sherlock Holmes,Text,2115,834,145,https://www.gutenberg.org/ebooks/834,1859,1930,"Doyle, Arthur Conan",1,"March, 1997",3,March,1997,8,"text/html; charset=iso-8859-1,text/plain; charset=us-ascii,application/x-mobipocket-ebook,application/zip,text/plain; charset=iso-8859-1,application/epub+zip,application/rdf+xml,text/plain",8.5,9.1,5.86,7949,6.0,80.62,8.4,7.5,3.1,0.06201643898520983,0.4823579329735425,4.6,16.0,0.06,403005,1834,5311,115796.7,87586
DG,en,"Rome -- History -- Empire, 30 B.C.-476 A.D.;Byzantine Empire -- History -- To 527;Indexes",The History Of The Decline And Fall Of The Roman Empire: Table of Contents with links in the HTML file to the two; Project Gutenberg editions (12 volumes),Text,2105,25717,146,https://www.gutenberg.org/ebooks/25717,1737,1794,"Gibbon, Edward",7,"June 7, 2008",6,June,2008,9,"application/rdf+xml,image/jpeg,text/html; charset=iso-8859-1,application/x-mobipocket-ebook,application/zip,text/plain; charset=iso-8859-1,application/epub+zip,text/plain; charset=us-ascii,text/plain",11.4,15.74,5.73,1026,6.4,63.36,5.2,9.0,3.1,0.08406771799628945,0.2545902092894577,6.05,8.0,0.12,57743,906,1098,15119.1,9538
PT,en,Social problems -- Fiction,The Trial,Text,2099,7849,147,https://www.gutenberg.org/ebooks/7849,1883,1924,"Kafka, Franz",1,"April, 2005",4,April,2005,10,"text/html,text/plain; charset=us-ascii,text/rtf,text/plain,application/octet-stream,application/zip,text/plain; charset=iso-8859-1,application/epub+zip,application/rdf+xml,application/x-mobipocket-ebook",9.1,8.94,5.49,5132,6.8,78.59,9.200000000000001,4.5,3.1,0.055229266442657333,0.49242972733871276,4.52,18.0,0.05,379078,1837,4552,108990.9,83946
PR,en,"Hamlet (Legendary character) -- Drama,Tragedies,Murder victims' families -- Drama,Princes -- Drama,Denmark -- Drama,Fathers -- Death -- Drama,Revenge -- Drama,Kings and rulers -- Succession -- Drama","Hamlet, Prince of Denmark",Text,2092,1524,148,https://www.gutenberg.org/ebooks/1524,1564,1616,"Shakespeare, William",1,"January 1, 1603",1,January,1603,6,"text/html,text/plain; charset=us-ascii,text/plain,application/rdf+xml,application/epub+zip,application/x-mobipocket-ebook",9.4,10.61,6.4,4049,5.6,81.63,8.0,2.5,3.1,0.14968219265275548,0.5373529448984683,4.86,15.0,0.06,153985,355,1999,39654.9,31677
PE,en,"English language -- Middle English, 1100-1500 -- Dictionaries",A Concise Dictionary of Middle English from A.D. 1150 to 1580,Text,2069,10625,149,https://www.gutenberg.org/ebooks/10625,1835,1912,"Skeat, Walter W. (Walter William)",7,"January 7, 2004",1,January,2004,7,"text/plain; charset=utf-8,text/html; charset=utf-8,application/zip,application/rdf+xml,application/epub+zip,text/plain; charset=iso-8859-1,application/x-mobipocket-ebook",12.5,17.13,7.66,38626,0.5,105.66,5.2,8.0,3.1,0.012648869657036167,0.4812178879586168,6.29,8.0,0.12,1059372,3136,19457,184911.3,168326
"PZ,PR",en,"Country life -- Fiction,Humorous stories,Pastoral fiction,England -- Fiction,Fantasy fiction,Animals -- Fiction,Friendship -- Fiction,River life -- Fiction",The Wind in the Willows,Text,2019,289,151,https://www.gutenberg.org/ebooks/289,1859,1932,"Grahame, Kenneth",1,"July, 1995",7,July,1995,7,"application/x-mobipocket-ebook,text/plain; charset=us-ascii,text/html; charset=us-ascii,application/zip,application/rdf+xml,application/epub+zip,text/plain",10.6,10.27,6.44,6882,7.2,77.57,9.600000000000001,2.5,3.1,0.08163899351171122,0.49872714509169946,4.75,19.0,0.05,277439,1185,3035,77015.7,58401
PR,en,"Pastoral fiction,Wessex (England) -- Fiction,Children of clergy -- Fiction,Children of the rich -- Fiction,Triangles (Interpersonal relations) -- Fiction,Poor families -- Fiction,Women household employees -- Fiction,Man-woman relationships -- Fiction,Women murderers -- Fiction,Rape victims -- Fiction,Didactic fiction",Tess of the d'Urbervilles: A Pure Woman,Text,2014,110,152,https://www.gutenberg.org/ebooks/110,1840,1928,"Hardy, Thomas",1,"February, 1994",2,February,1994,8,"text/plain; charset=us-ascii,text/plain,text/html; charset=iso-8859-1,application/zip,text/plain; charset=iso-8859-1,application/epub+zip,application/rdf+xml,application/x-mobipocket-ebook",10.9,10.68,6.17,14997,8.3,69.11,9.600000000000001,26.0,3.1,0.06836649990827988,0.4748895078441672,4.82,19.0,0.05,715944,4209,7676,201971.7,148537
PR,en,"Scotland -- Kings and rulers -- Drama;Tragedies;Macbeth, King of Scotland, active 11th century -- Drama;Regicides -- Drama",Macbeth,Text,2012,2264,153,https://www.gutenberg.org/ebooks/2264,1564,1616,"Shakespeare, William",1,"January 1, 1623",1,January,1623,7,"text/html,text/plain; charset=us-ascii,text/plain,application/zip,application/rdf+xml,application/epub+zip,application/x-mobipocket-ebook",9.9,10.84,6.68,2620,6.0,80.62,8.4,13.5,3.1,0.14628671015465597,0.519673238787798,4.9,16.0,0.06,90199,132,1117,23691.6,18412
PE,en,"Report writing,English language -- Style,English language -- Rhetoric",The Elements of Style,Text,2000,37134,154,https://www.gutenberg.org/ebooks/37134,1869,1946,"Strunk, William",19,"August 19, 2011",8,August,2011,9,"image/jpeg,text/html; charset=utf-8,text/plain; charset=us-ascii,application/x-mobipocket-ebook,application/zip,application/rdf+xml,application/epub+zip,text/plain; charset=iso-8859-1,text/plain",11.9,13.05,7.35,2567,8.4,63.7,8.4,6.0,3.1,0.08680284837742207,0.43255171554035177,5.28,16.0,0.06,73214,698,820,21087.9,13871
PR,en,"London (England) -- Drama,Comedies",An Ideal Husband,Text,1980,885,155,https://www.gutenberg.org/ebooks/885,1854,1900,"Wilde, Oscar",27,"March 27, 2009",3,March,2009,7,"text/html,text/plain; charset=utf-8,text/plain; charset=us-ascii,application/zip,application/rdf+xml,application/epub+zip,application/x-mobipocket-ebook",6.3,9.36,5.64,3042,3.3,87.72,5.6000000000000005,5.5,3.1,0.09129321773780148,0.5298345766259349,4.9,9.0,0.11,151199,612,3310,41577.3,30887
PQ,es,"Picaresque literature,Spain -- Social life and customs -- 16th century -- Fiction,Knights and knighthood -- Spain -- Fiction,Romances",Don Quijote,Text,1975,2000,156,https://www.gutenberg.org/ebooks/2000,1547,1616,"Cervantes Saavedra, Miguel de",1,"December, 1999",12,December,1999,7,"text/html; charset=iso-8859-1,application/x-mobipocket-ebook,application/zip,text/plain; charset=iso-8859-1,application/epub+zip,application/rdf+xml,text/plain",20.9,10.75,7.07,34979,18.9,30.88,18.0,28.0,11.2,0.004399545859744715,0.5446898944477654,4.68,40.0,0.02,1782519,20363,9404,600512.4,381225
PS,en,"Edward VI, King of England, 1537-1553 -- Fiction;Princes -- Fiction;Social classes -- Fiction;Poor children -- Fiction;London (England) -- Fiction;Impostors and imposture -- Fiction;Historical fiction;Lookalikes -- Fiction;Boys -- Fiction",The Prince and the Pauper,Text,1955,1837,157,https://www.gutenberg.org/ebooks/1837,1835,1910,"Twain, Mark",20,"August 20, 2006",8,August,2006,8,"image/jpeg,text/html; charset=iso-8859-1,application/x-mobipocket-ebook,application/zip,text/plain; charset=iso-8859-1,application/epub+zip,application/rdf+xml,text/plain",12.0,10.91,6.69,8932,7.9,75.54,10.4,17.0,3.1,0.08902463709683353,0.5050723719566816,4.86,21.0,0.05,340217,1540,3315,93936.6,69972
PR,en,"Children of clergy -- Fiction;Bildungsromans;Social classes -- Fiction;Didactic fiction;Young women -- Fiction;England, Northern -- Fiction;Mothers and daughters -- Fiction",North and South,Text,1948,4276,158,https://www.gutenberg.org/ebooks/4276,1810,1865,"Gaskell, Elizabeth Cleghorn",12,"June 12, 2012",6,June,2012,7,"text/html; charset=iso-8859-1,application/x-mobipocket-ebook,application/zip,application/rdf+xml,application/epub+zip,text/plain; charset=us-ascii,text/plain",9.2,9.51,5.71,14113,6.4,79.6,8.8,19.5,3.1,0.08456673554903724,0.52295691874082,4.67,17.0,0.06,847167,3651,10509,239356.8,181508
PR,en,"Pilgrims and pilgrimages -- Europe -- Poetry,Voyages and travels -- Poetry,English poetry",Childe Harold's Pilgrimage,Text,1947,5131,159,https://www.gutenberg.org/ebooks/5131,1788,1824,"Byron, George Gordon Byron, Baron",1,"February, 2004",2,February,2004,7,"text/html; charset=us-ascii,text/plain; charset=us-ascii,text/plain,application/zip,application/rdf+xml,application/epub+zip,application/x-mobipocket-ebook",17.9,12.31,7.58,5702,11.8,65.39,14.4,25.5,3.1,0.11135453064288713,0.5122775117698445,5.0,31.0,0.03,187170,448,1189,48936.6,37406
PZ,en,"Fairy tales -- Denmark;Fairy tales;Children's stories, Danish -- Translations into English",Andersen's Fairy Tales,Text,1924,1597,162,https://www.gutenberg.org/ebooks/1597,1805,1875,"Andersen, H. C. (Hans Christian)",1,"January, 1999",1,January,1999,6,"text/plain,text/plain; charset=us-ascii,application/x-mobipocket-ebook,application/rdf+xml,application/epub+zip,text/html; charset=us-ascii",9.7,9.28,6.11,5383,7.2,77.57,9.600000000000001,26.0,3.1,0.12041990630933559,0.5024558298999244,4.58,19.0,0.05,253942,863,2889,71139.6,55394
PS,en,American drama,Plays,Text,1897,10623,164,https://www.gutenberg.org/ebooks/10623,1876,1948,"Glaspell, Susan",7,"January 7, 2004",1,January,2004,7,"text/plain; charset=us-ascii,application/x-mobipocket-ebook,text/html; charset=iso-8859-1,application/rdf+xml,application/epub+zip,text/plain; charset=iso-8859-1,text/plain",7.0,9.96,5.7,5678,3.7,86.71,6.0,14.0,3.1,0.007323418325545181,0.5582377801030164,4.9,10.0,0.09,280155,1358,5295,75384.0,57186
BR,en,"Catholic Church -- Bishops -- Biography;Bishops -- Algeria -- Hippo (Extinct city) -- Biography;Augustine, Saint, Bishop of Hippo;Christian saints -- Algeria -- Hippo (Extinct city) -- Biography",The Confessions of St. Augustine,Text,1890,3296,167,https://www.gutenberg.org/ebooks/3296,354,430,"Augustine, Saint, Bishop of Hippo",1,"June, 2002",6,June,2002,7,"text/plain,text/plain; charset=us-ascii,application/x-mobipocket-ebook,application/zip,application/rdf+xml,application/epub+zip,text/html; charset=us-ascii",15.3,9.7,6.39,8939,11.5,66.41,14.0,13.0,3.1,0.16772999198256466,0.5239941687704005,4.55,30.0,0.03,509067,2119,3663,146779.2,111824
PQ,en,"Autobiographical fiction,Villages -- France -- Fiction,France -- Social life and customs -- 19th century -- Fiction",Swann's Way,Text,1877,7178,168,https://www.gutenberg.org/ebooks/7178,1871,1922,"Proust, Marcel",21,"March 21, 2009",3,March,2009,6,"text/html; charset=iso-8859-1,application/x-mobipocket-ebook,application/rdf+xml,application/epub+zip,text/plain; charset=iso-8859-1,text/plain",19.5,10.75,6.77,16104,15.4,50.84,16.8,13.0,8.8,0.09773590586803396,0.5107603697500214,4.73,37.0,0.03,922547,5922,5235,270441.9,195216
E300,en,"Slaves -- United States -- Biography;Plantation life -- Louisiana -- History -- 19th century;Northup, Solomon, 1808-1863?;Slaves' writings, American;African Americans -- Biography;Slavery -- Louisiana -- History -- 19th century","Twelve Years a Slave: Narrative of Solomon Northup, a Citizen of New-York, Kidnapped in Washington City in 1841, and Rescued in 1853, from a Cotton Plantation near the Red River in Louisiana",Text,1868,45631,169,https://www.gutenberg.org/ebooks/45631,1808,0,"Northup, Solomon",11,"May 11, 2014",5,May,2014,9,"image/jpeg,text/html; charset=iso-8859-1,application/x-mobipocket-ebook,text/plain; charset=iso-8859-1,application/zip,application/rdf+xml,application/epub+zip,text/plain; charset=us-ascii,text/plain",12.3,11.37,6.51,9775,8.7,68.1,10.0,5.0,3.1,0.07398433220491253,0.47994540074383263,4.94,20.0,0.05,405024,2913,3931,116656.2,81946
PG,en,"Russia -- Social life and customs -- Drama;Authors, Russian -- 19th century -- Drama;Russian drama -- Translations into English;Man-woman relationships -- Drama",The Sea-Gull,Text,1856,1754,170,https://www.gutenberg.org/ebooks/1754,1860,1904,"Chekhov, Anton Pavlovich",21,"February 21, 2006",2,February,2006,7,"text/plain,text/plain; charset=us-ascii,application/x-mobipocket-ebook,application/zip,application/rdf+xml,application/epub+zip,text/html; charset=us-ascii",6.4,8.69,6.04,2169,4.4,84.68,6.800000000000001,13.0,3.1,0.095969144143421,0.5173707433029797,4.63,12.0,0.08,87650,446,1575,25110.0,18923
PR,en,"Beresford, Tommy (Fictitious character) -- Fiction;Detective and mystery stories;Private investigators -- England -- Fiction;Beresford, Tuppence (Fictitious character) -- Fiction;Missing persons -- Fiction;Married people -- Fiction;Domestic fiction",The Secret Adversary,Text,1825,1155,172,https://www.gutenberg.org/ebooks/1155,1890,1976,"Christie, Agatha",14,"September 14, 2008",9,September,2008,6,"text/plain; charset=utf-8,text/html; charset=utf-8,application/zip,application/rdf+xml,application/epub+zip,application/x-mobipocket-ebook",6.7,9.72,5.75,7723,4.8,78.25,6.0,3.5,3.1,0.06912464247463623,0.4909403713550411,4.91,10.0,0.1,369756,1876,7467,101785.5,75285
PQ,en,"Epic poetry, Italian -- Translations into English;Italian poetry -- To 1400 -- Translations into English;Hell -- Poetry","The vision of hell.: By Dante Alighieri.; Translated by Rev. Henry Francis Cary, M.A.; and illustrated with the seventy-five designs of Gustave Doré.",Text,1822,8789,174,https://www.gutenberg.org/ebooks/8789,1265,1321,Dante Alighieri,7,"August 7, 2004",8,August,2004,7,"image/jpeg,text/plain; charset=us-ascii,application/x-mobipocket-ebook,application/rdf+xml,application/epub+zip,text/html; charset=iso-8859-1,text/plain",12.7,10.97,6.87,4953,8.3,74.53,10.8,13.0,3.1,0.03585212206790738,0.4925737400321064,4.82,22.0,0.04,176090,278,1599,46282.5,36498
PQ,tl,"Philippines -- History -- 1812-1898 -- Fiction,Historical fiction",Noli Me Tangere,Text,1819,20228,175,https://www.gutenberg.org/ebooks/20228,1861,1896,"Rizal, Jose",30,"December 30, 2006",12,December,2006,7,"image/jpeg,text/html; charset=iso-8859-1,application/zip,text/plain; charset=iso-8859-1,application/epub+zip,application/rdf+xml,text/plain",16.4,16.88,7.32,29751,11.1,51.18,10.0,10.5,11.2,-0.15398419091366541,0.471951121794872,5.89,20.0,0.05,1030259,19725,8626,282948.3,174826
PR,en,"Inheritance and succession -- Fiction,Gothic fiction (Literary genre),Horror tales",The Castle of Otranto,Text,1797,696,177,https://www.gutenberg.org/ebooks/696,1717,1797,"Walpole, Horace",5,"May 5, 2012",5,May,2012,5,"text/plain; charset=utf-8,application/rdf+xml,application/epub+zip,application/x-mobipocket-ebook,text/html",10.8,11.13,6.6,4912,7.6,71.14,8.8,8.0,3.1,0.09420797946324658,0.5244182064866908,4.95,17.0,0.06,181332,1241,2052,51256.8,36600
PR,en,English poetry -- 18th century,"Lyrical Ballads, With a Few Other Poems (1798)",Text,1793,9622,178,https://www.gutenberg.org/ebooks/9622,1770,1850,"Wordsworth, William",1,"January, 2006",1,January,2006,8,"application/rdf+xml,text/html; charset=iso-8859-1,application/x-mobipocket-ebook,application/zip,text/plain; charset=iso-8859-1,application/epub+zip,text/plain; charset=us-ascii,text/plain",12.0,10.16,6.54,2467,7.2,82.98,10.8,8.5,3.1,0.08144759408198557,0.502518012902231,4.68,22.0,0.04,100332,164,944,26404.2,21451
PR,en,"Country homes -- Fiction,Jewelry theft -- Fiction,Police -- England -- Fiction,England -- Fiction,East Indians -- England -- Fiction,Mystery fiction",The Moonstone,Text,1770,155,179,https://www.gutenberg.org/ebooks/155,1824,1889,"Collins, Wilkie",12,"January 12, 2006",1,January,2006,6,"text/html; charset=us-ascii,text/plain; charset=us-ascii,application/x-mobipocket-ebook,application/rdf+xml,application/epub+zip,text/plain",8.6,9.74,5.46,13369,6.8,73.17,8.0,11.0,3.1,0.07974315271470545,0.4823653315658476,4.71,15.0,0.06,916844,5228,12428,263012.4,194758
